English-Hindi , Count
said-के , 3650
has-ने , 3630
The-और , 3603
a-पर , 3574
and-हैं , 3570
at-में , 3554
also-के , 3552
the-उन्होंने , 3549
and-भी , 3548
and-एक , 3537
on-में , 3508
at-के , 3475
on-की , 3452
But-लेकिन , 3441
is-से , 3388
with-में , 3380
and-हैं। , 3358
will-में , 3345
the-हुए , 3311
a-कि , 3310
are-में , 3309
in-एक , 3265
be-में , 3239
have-में , 3234
for-और , 3232
that-की , 3221
of-भी , 3196
has-है , 3169
And-और , 3162
been-के , 3153
and-कर , 3133
for-को , 3076
his-के , 3067
the-दिया , 3064
to-नहीं , 3062
The-है , 3031
is-यह , 2978
in-इस , 2962
to-एक , 2942
of-हैं , 2931
the-भारत , 2930
of-हैं। , 2921
to-भी , 2877
for-ने , 2862
that-ने , 2859
and-इस , 2853
that-और , 2852
of-इस , 2844
with-और , 2837
in-कहा , 2833
police-पुलिस , 2808
this-इस , 2800
in-भी , 2797
is-कि , 2797
I-मैं , 2787
by-की , 2762
Minister-के , 2745
are-और , 2745
is-को , 2735
said-कि , 2730
was-की , 2708
The-से , 2704
an-के , 2690
The-का , 2686
also-में , 2652
as-में , 2649
by-में , 2648
with-साथ , 2643
for-है। , 2638
and-किया , 2635
be-की , 2633
with-से , 2630
for-है , 2629
a-लिए , 2625
to-हैं , 2618
has-को , 2615
to-कर , 2598
this-में , 2564
have-की , 2564
have-है। , 2560
of-किया , 2559
on-और , 2552
to-इस , 2530
that-को , 2520
and-साथ , 2514
with-की , 2508
said-ने , 2505
the-रही , 2501
been-में , 2494
is-एक , 2481
against-के , 2477
the-था , 2471
were-के , 2453
are-हैं। , 2443
in-लिए , 2442
of-करने , 2416
are-की , 2413
and-करने , 2394
of-कर , 2394
the-अपने , 2373
in-हैं। , 2373
the-लोगों , 2367
have-ने , 2358
are-हैं , 2350
this-के , 2322
the-गई , 2321
not-के , 2318
of-नहीं , 2312
on-ने , 2310
had-के , 2310
in-हैं , 2307
a-कहा , 2298
the-रहे , 2294
is-पर , 2290
India-के , 2289
has-और , 2286
he-के , 2281
have-को , 2276
the-मामले , 2273
for-से , 2266
have-और , 2261
said-में , 2257
of-यह , 2256
been-है। , 2238
will-और , 2237
have-है , 2232
were-में , 2226
for-का , 2225
said-कहा , 2224
is-नहीं , 2220
that-से , 2218
will-की , 2198
in-किया , 2184
by-ने , 2167
and-पुलिस , 2162
be-और , 2143
has-से , 2130
from-में , 2128
the-दी , 2127
The-पर , 2122
the-सभी , 2122
it-है , 2113
the-पहले , 2104
to-किया , 2098
are-है। , 2094
it-के , 2091
been-की , 2083
Singh-सिंह , 2081
the-इसके , 2071
Police-पुलिस , 2061
after-के , 2053
to-यह , 2048
the-कांग्रेस , 2043
the-लेकिन , 2043
a-भी , 2042
was-और , 2030
a-यह , 2027
their-के , 2024
is-भी , 2019
a-कर , 2019
in-कर , 2007
on-को , 1998
the-जा , 1996
the-करते , 1994
are-है , 1992
said-की , 1988
is-लिए , 1982
by-और , 1981
his-में , 1978
the-जांच , 1968
from-की , 1962
the-जो , 1956
is-ने , 1952
the-फिल्म , 1946
at-की , 1928
the-राज्य , 1924
also-की , 1919
the-मौके , 1919
the-तो , 1913
police-के , 1911
in-नहीं , 1907
be-को , 1906
that-कहा , 1905
was-ने , 1896
has-का , 1889
to-हैं। , 1880
and-यह , 1879
the-देश , 1877
not-है , 1871
the-वह , 1866
on-है , 1862
on-है। , 1857
the-रहा , 1848
the-सिंह , 1838
the-भारतीय , 1831
as-और , 1823
an-में , 1813
that-का , 1791
also-और , 1789
of-गया , 1784
on-से , 1783
be-है , 1782
with-को , 1778
the-द्वारा , 1773
with-ने , 1768
the-सबसे , 1768
is-हैं , 1767
the-गए , 1763
the-खिलाफ , 1759
from-और , 1758
is-कहा , 1754
was-से , 1748
the-घटना , 1745
to-उन्होंने , 1739
by-को , 1738
that-है। , 1732
as-की , 1732
by-से , 1730
the-होने , 1730
police-ने , 1726
for-पर , 1716
to-गया , 1716
at-पर , 1714
the-वाले , 1707
a-इस , 1707
was-को , 1706
I-नहीं , 1706
and-गया , 1705
a-हैं , 1703
will-को , 1699
the-दोनों , 1696
But-नहीं , 1690
with-है , 1686
India-में , 1685
are-से , 1685
not-में , 1683
the-बताया , 1680
he-में , 1680
the-भाजपा , 1679
it-में , 1675
Indian-के , 1675
have-से , 1672
it-और , 1662
no-नहीं , 1661
of-साथ , 1660
and-उन्होंने , 1657
government-के , 1655
of-हो , 1655
The-इस , 1655
been-को , 1653
and-नहीं , 1650
had-में , 1646
of-ही , 1646
the-पार्टी , 1645
was-कि , 1641
the-था। , 1638
this-है। , 1635
said.-के , 1630
that-नहीं , 1629
a-नहीं , 1628
the-रूप , 1619
A-के , 1617
this-है , 1616
of-भारत , 1614
is-हैं। , 1614
and-ही , 1612
in-हो , 1611
it-यह , 1609
a-किया , 1608
for-कि , 1604
in-भारत , 1601
had-ने , 1601
in-करने , 1593
all-के , 1593
I-मुझे , 1589
who-के , 1586
has-पर , 1574
the-तक , 1571
the-दर्ज , 1571
in-यह , 1568
you-आप , 1565
the-शामिल , 1561
this-की , 1561
in-गया , 1552
In-में , 1549
the-कोई , 1545
he-कि , 1541
be-कि , 1541
not-की , 1538
the-कुछ , 1537
at-और , 1535
police-में , 1526
The-पुलिस , 1525
of-पुलिस , 1524
is-इस , 1523
and-हो , 1522
that-यह , 1519
The-कि , 1504
of-उन्होंने , 1504
Singh-के , 1496
has-कि , 1495
the-दिल्ली , 1492
to-पुलिस , 1490
his-ने , 1481
be-से , 1480
India-भारत , 1476
with-है। , 1473
the-लेकर , 1472
and-भारत , 1469
The-कर , 1469
to-अपने , 1466
to-करना , 1465
not-है। , 1465
police-की , 1464
in-साथ , 1463
his-की , 1462
as-को , 1460
to-साथ , 1460
to-ही , 1456
been-है , 1452
or-या , 1447
the-लिया , 1443
had-की , 1440
government-सरकार , 1439
BJP-के , 1439
be-का , 1435
said-और , 1430
He-के , 1425
that-पर , 1424
the-मंत्री , 1424
from-ने , 1424
said-को , 1423
the-सूचना , 1423
Congress-के , 1421
in-ही , 1421
which-के , 1420
I-कि , 1416
The-भी , 1415
said-है , 1413
on-का , 1409
are-को , 1407
the-मोदी , 1400
and-अपने , 1399
He-में , 1396
and-एवं , 1385
from-को , 1384
its-के , 1378
I-में , 1377
will-से , 1377
and-व , 1370
a-पुलिस , 1368
other-के , 1367
a-साथ , 1366
A-में , 1363
it-है। , 1363
was-का , 1363
an-की , 1361
to-बाद , 1359
as-है , 1358
about-के , 1357
also-को , 1355
or-के , 1353
I-है , 1349
by-है , 1348
a-हैं। , 1347
the-कई , 1345
Police-के , 1345
Minister-ने , 1344
to-हो , 1342
were-और , 1334
The-लिए , 1331
Chief-के , 1329
with-का , 1323
a-करने , 1322
Police-ने , 1322
Minister-में , 1321
the-अन्य , 1319
and-सिंह , 1318
also-है। , 1315
the-बीच , 1315
of-हुए , 1309
have-कर , 1309
to-लेकिन , 1306
also-ने , 1303
under-के , 1300
people-के , 1299
to-सरकार , 1298
I-और , 1298
the-प्रधानमंत्री , 1295
can-के , 1295
have-पुलिस , 1293
the-गया। , 1292
been-से , 1290
were-की , 1284
and-बाद , 1283
the-उनके , 1276
the-दौरान , 1276
will-कि , 1275
against-खिलाफ , 1274
about-में , 1274
been-गया , 1273
the-टीम , 1270
and-हुए , 1266
the-मुख्यमंत्री , 1265
was-पर , 1265
his-और , 1265
to-दिया , 1265
been-और , 1256
Congress-कांग्रेस , 1254
be-पर , 1252
on-इस , 1251
to-भारत , 1249
not-कि , 1249
of-सरकार , 1247
this-और , 1244
it-कि , 1242
will-का , 1241
this-को , 1240
he-कहा , 1236
the-थे। , 1236
their-में , 1233
by-है। , 1233
the-बात , 1233
the-शुरू , 1232
in-उन्होंने , 1229
A-की , 1229
of-अपने , 1226
one-एक , 1225
at-ने , 1221
be-है। , 1220
as-ने , 1219
to-लोगों , 1218
and-शामिल , 1218
has-किया , 1217
the-करना , 1217
the-या , 1213
was-है , 1209
police-को , 1208
as-से , 1208
the-किसी , 1206
But-है , 1205
in-पुलिस , 1204
has-लिए , 1204
two-के , 1200
the-तरह , 1197
to-मैं , 1197
the-दो , 1192
is-रही , 1190
be-नहीं , 1189
was-था , 1189
a-गया , 1184
India-की , 1181
not-को , 1180
Minister-की , 1180
the-हम , 1179
you-हैं , 1178
the-समय , 1175
In-के , 1175
is-ही , 1175
on-कि , 1174
The-किया , 1173
at-से , 1168
the-जारी , 1168
two-दो , 1167
are-का , 1167
have-कि , 1166
is-कर , 1164
he-उन्होंने , 1164
has-इस , 1163
and-तथा , 1163
the-अपनी , 1163
it-की , 1162
He-उन्होंने , 1162
he-है , 1161
for-कहा , 1160
have-का , 1160
he-और , 1159
the-प्रदेश , 1157
it-नहीं , 1157
was-था। , 1155
one-में , 1153
will-है , 1153
the-उन्हें , 1151
have-पर , 1150
was-भी , 1149
of-बाद , 1149
has-भी , 1149
This-है। , 1149
said-से , 1147
has-कर , 1147
a-ही , 1144
we-हम , 1144
the-क्षेत्र , 1143
not-और , 1142
was-गया , 1142
and-दिया , 1141
that-भी , 1139
by-का , 1138
was-है। , 1137
from-है , 1136
he-की , 1133
of-लोगों , 1132
people-में , 1132
her-के , 1132
also-है , 1131
Minister-और , 1131
all-सभी , 1131
an-है , 1128
Indian-में , 1128
be-भी , 1128
after-बाद , 1127
this-से , 1127
And-है , 1126
the-पूर्व , 1126
with-पर , 1123
will-पर , 1123
I-के , 1122
an-और , 1121
for-एक , 1118
their-और , 1116
A-है। , 1115
has-नहीं , 1114
was-एक , 1110
state-के , 1109
that-एक , 1105
But-है। , 1105
and-सभी , 1105
that-हैं , 1105
has-गया , 1104
are-पर , 1104
the-जाने , 1103
in-हुए , 1102
is-रहा , 1102
and-रहे , 1102
to-हुए , 1099
the-जानकारी , 1099
to-था , 1093
case-के , 1093
This-यह , 1089
Bank-बैंक , 1089
the-एवं , 1084
of-दिया , 1083
for-कर , 1072
Minister-मंत्री , 1070
not-से , 1070
with-कि , 1070
the-हुई , 1069
but-के , 1068
I-लेकिन , 1068
are-कि , 1068
the-थी , 1068
between-के , 1066
this-यह , 1066
also-से , 1065
for-भी , 1062
his-को , 1061
Prime-के , 1060
it-से , 1059
his-से , 1058
a-उन्होंने , 1058
and-सरकार , 1056
at-को , 1053
an-है। , 1053
no-कोई , 1052
the-चुनाव , 1050
the-अनुसार , 1049
film-फिल्म , 1049
an-एक , 1048
had-को , 1048
who-में , 1047
of-सभी , 1046
to-वह , 1042
have-नहीं , 1042
their-की , 1042
a-हो , 1040
were-को , 1039
of-रहे , 1039
the-जब , 1035
to-सभी , 1035
it-लेकिन , 1035
all-में , 1033
the-सकते , 1032
that-लिए , 1030
in-मामले , 1028
police-है। , 1028
the-थी। , 1025
the-किए , 1025
was-यह , 1024
was-नहीं , 1024
two-में , 1022
the-अध्यक्ष , 1021
its-में , 1021
said.-में , 1019
the-व , 1018
not-का , 1017
The-गया , 1016
government-की , 1015
have-भी , 1014
India-ने , 1014
been-ने , 1013
for-नहीं , 1013
their-को , 1012
an-ने , 1011
over-के , 1010
in-अपने , 1009
a-बाद , 1008
All-सभी , 1008
and-मंत्री , 1008
he-से , 1008
Modi-के , 1008
of-जो , 1007
will-भी , 1007
the-कारण , 1007
to-तो , 1007
Modi-मोदी , 1006
by-पर , 1004
also-पर , 1002
one-के , 1001
people-लोगों , 1000
the-मैं , 1000
Delhi-के , 1000
said.-कि , 1000
said.-कहा , 1000
After-के , 1000
the-थे , 1000
against-की , 999
The-हैं। , 999
on-एक , 998
the-देने , 998
at-है। , 997
not-ने , 996
has-कहा , 996
of-भारतीय , 996
it-को , 995
and-अन्य , 995
BJP-में , 994
And-भी , 991
Police-की , 990
the-हालांकि , 990
in-बाद , 988
as-का , 988
the-ये , 988
and-उनके , 987
After-बाद , 987
you-के , 987
at-है , 986
and-करते , 986
be-लिए , 985
on-भी , 985
has-एक , 984
during-के , 983
the-नेता , 983
have-हैं। , 982
which-में , 981
to-इसके , 980
the-केंद्र , 977
BJP-भाजपा , 971
all-और , 971
India-और , 970
not-यह , 970
the-बारे , 968
this-ने , 968
Police-में , 967
against-ने , 965
chief-के , 965
And-है। , 965
of-सिंह , 963
had-से , 962
also-का , 962
of-कई , 962
from-है। , 961
in-रहे , 961
against-में , 960
the-बार , 960
government-में , 959
had-और , 957
first-के , 955
other-और , 954
of-था , 954
and-लोगों , 953
can-सकते , 951
he-को , 950
for-हैं , 950
to-कुछ , 948
the-अधिकारी , 947
for-करने , 947
as-कि , 947
the-वहीं , 946
the-क्या , 945
of-कुछ , 945
to-जा , 944
as-है। , 942
said.-ने , 942
and-था , 940
police-पर , 937
He-की , 937
government-ने , 937
be-कहा , 935
had-कि , 935
in-सरकार , 934
the-ओर , 934
any-के , 932
he-ने , 928
and-इसके , 927
be-ने , 923
they-के , 923
the-अस्पताल , 923
in-फिल्म , 922
Police-है। , 922
and-कांग्रेस , 921
the-इससे , 920
to-रहे , 920
said-का , 919
Indian-भारतीय , 918
is-लेकिन , 918
are-रहे , 918
to-तक , 917
A-एक , 917
are-कर , 917
said-है। , 916
that-इस , 915
were-से , 914
the-काम , 913
people-की , 912
in-लोगों , 912
for-हैं। , 912
But-यह , 912
for-इस , 911
the-वे , 911
an-का , 911
Rs-के , 911
the-तथा , 910
the-इन , 910
of-रूप , 909
was-कहा , 908
the-वाली , 908
to-हम , 903
former-के , 902
in-रही , 902
for-यह , 900
you-है , 900
police-कर , 898
other-में , 896
by-कि , 896
of-रही , 895
in-दिल्ली , 895
Minister-को , 894
can-में , 894
and-दो , 893
of-गई , 893
to-उन्हें , 891
have-लिए , 891
the-हुआ , 890
I-से , 890
into-में , 889
this-नहीं , 889
be-किया , 889
its-है , 887
about-की , 885
that-किया , 885
This-में , 885
other-अन्य , 884
for-किया , 884
be-इस , 883
which-है , 882
and-रही , 881
and-रूप , 878
the-करता , 878
and-फिल्म , 877
are-भी , 875
and-जो , 875
of-बैंक , 875
by-द्वारा , 874
the-दिया। , 870
first-में , 869
The-एक , 869
are-लिए , 869
in-गई , 869
he-वह , 869
Police-को , 869
being-के , 868
the-सुरक्षा , 867
and-बीच , 867
can-है , 867
the-शव , 867
to-कोई , 866
this-पर , 864
And-यह , 862
the-गई। , 862
said.-की , 860
government-को , 859
Delhi-दिल्ली , 859
to-जो , 858
an-से , 858
in-था , 855
the-उनकी , 854
the-किया। , 853
the-लोग , 853
was-इस , 852
to-रही , 852
as-पर , 852
India-को , 851
of-जा , 851
would-के , 851
is-भारत , 850
will-इस , 849
and-गई , 849
of-देश , 848
with-भी , 848
have-हैं , 847
to-होने , 846
he-नहीं , 843
The-यह , 842
it-ने , 841
the-कम , 841
But-पर , 840
to-किसी , 840
your-के , 839
an-को , 838
the-जाता , 838
not-भी , 837
the-आरोपी , 836
with-एक , 833
have-कहा , 833
its-की , 833
on-कहा , 830
is-हो , 830
the-की। , 830
her-की , 830
is-जा , 829
his-है , 828
It-है। , 828
minister-के , 828
a-लेकिन , 826
but-में , 826
her-में , 825
new-के , 824
his-पर , 824
the-तहत , 824
that-कर , 823
This-के , 822
on-लिए , 822
is-किया , 822
of-रहा , 822
Police-कर , 822
and-गए , 821
to-रहा , 821
the-कुमार , 820
of-राज्य , 820
has-हैं। , 820
According-के , 819
registered-के , 818
from-कि , 818
or-में , 818
is-करने , 817
Congress-में , 817
The-कहा , 816
the-स्थिति , 816
of-पहले , 816
our-के , 816
said-पर , 815
is-जो , 815
